"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9631","navigation to form page","chromium","Fri Jun 27 16:47:16 IST 2025","passed","Fri Jun 27 16:47:25 IST 2025","","usePageObjects.spec.ts","",""
"","7874","parametrized methods","chromium","Fri Jun 27 16:47:27 IST 2025","passed","Fri Jun 27 16:47:35 IST 2025","","usePageObjects.spec.ts","",""
